Date,Withdrawls,Total,Yes,No
2022-04-01,0.0,0,0,0
2022-04-02,0.0,0,0,0
2022-04-03,0.0,0,0,0
2022-04-04,0.0,0,0,0
2022-04-05,0.0,0,0,0
2022-04-06,14.0,2,2,0
2022-04-07,0.0,0,0,0
2022-04-08,0.0,0,0,0
2022-04-09,0.0,0,0,0
2022-04-10,0.0,0,0,0
2022-04-11,0.0,0,0,0
2022-04-12,0.0,0,0,0
2022-04-13,0.0,0,0,0
2022-04-14,0.0,0,0,0
2022-04-15,0.0,0,0,0
2022-04-16,0.0,0,0,0
2022-04-17,0.0,0,0,0
2022-04-18,0.0,0,0,0
2022-04-19,10086.46,4,3,1
2022-04-20,0.0,0,0,0
2022-04-21,1453.04,1,1,0
2022-04-22,1136.0,2,2,0
2022-04-23,0.0,0,0,0
2022-04-24,2320.0,1,1,0
2022-04-25,0.0,0,0,0
2022-04-26,810.0,1,0,1
2022-04-27,0.0,0,0,0
2022-04-28,15568.0,3,1,2
2022-04-29,149.0,1,1,0
2022-04-30,3483.45,2,2,0
2022-05-01,0.0,0,0,0
2022-05-02,3677.0,2,1,1
2022-05-03,20702.0,4,4,0
2022-05-04,0.0,0,0,0
2022-05-05,554.0,1,1,0
2022-05-06,0.0,0,0,0
2022-05-07,0.0,0,0,0
2022-05-08,0.0,0,0,0
2022-05-09,0.0,0,0,0
2022-05-10,0.0,0,0,0
2022-05-11,0.0,0,0,0
2022-05-12,0.0,0,0,0
2022-05-13,150.0,1,1,0
2022-05-14,0.0,0,0,0
2022-05-15,500.0,1,1,0
2022-05-16,532.0,2,2,0
2022-05-17,3423.0,2,2,0
2022-05-18,50.0,1,1,0
2022-05-19,149.0,1,1,0
2022-05-20,60.0,1,1,0
2022-05-21,1462.0,1,0,1
2022-05-22,60.0,1,1,0
2022-05-23,170.0,2,2,0
2022-05-24,0.0,0,0,0
2022-05-25,0.0,0,0,0
2022-05-26,0.0,0,0,0
2022-05-27,0.0,0,0,0
2022-05-28,0.0,0,0,0
2022-05-29,776.0,1,1,0
2022-05-30,0.0,0,0,0
2022-05-31,0.0,0,0,0
2022-06-01,2386.0,3,3,0
2022-06-02,10090.0,2,2,0
2022-06-03,0.0,0,0,0
2022-06-04,190.0,2,2,0
2022-06-05,1550.0,3,3,0
2022-06-06,15300.0,5,5,0
2022-06-07,85.0,1,1,0
2022-06-08,165.0,2,2,0
2022-06-09,10150.0,2,2,0
2022-06-10,2228.0,3,3,0
2022-06-11,10000.0,1,0,1
2022-06-12,0.0,0,0,0
2022-06-13,0.0,0,0,0
2022-06-14,0.0,0,0,0
2022-06-15,200.0,1,1,0
2022-06-16,230.0,1,1,0
2022-06-17,0.0,0,0,0
2022-06-18,1636.0,3,2,1
2022-06-19,17.7,1,0,1
2022-06-20,40.0,1,1,0
2022-06-21,3016.0,2,2,0
2022-06-22,5015.0,2,1,1
2022-06-23,2758.0,1,0,1
2022-06-24,0.0,0,0,0
2022-06-25,3700.0,1,0,1
2022-06-26,3245.0,1,1,0
2022-06-27,5480.0,5,4,1
2022-06-28,1086.0,2,2,0
2022-06-29,204.0,2,2,0
2022-06-30,22207.05,6,4,2
2022-07-01,677.25,1,1,0
2022-07-02,0.0,0,0,0
2022-07-03,1000.0,1,1,0
2022-07-04,1696.0,1,1,0
2022-07-05,3018.08,5,5,0
2022-07-06,2210.0,2,2,0
2022-07-07,12000.0,1,1,0
2022-07-08,20000.0,2,0,2
2022-07-09,1125.76,1,0,1
2022-07-10,35049.56,8,1,7
2022-07-11,290.2,2,2,0
2022-07-12,0.0,0,0,0
2022-07-13,1689.2,3,2,1
2022-07-14,131.0,3,3,0
2022-07-15,1211.0,2,2,0
2022-07-16,0.0,0,0,0
2022-07-17,0.0,0,0,0
2022-07-18,71.0,2,2,0
2022-07-19,7348.78,7,3,4
2022-07-20,2135.0,2,1,1
2022-07-21,2216.0,5,3,2
2022-07-22,1360.48,7,6,1
2022-07-23,5802.78,7,4,3
2022-07-24,23306.559999999998,9,2,7
2022-07-25,1086.0,3,3,0
2022-07-26,3444.0,3,3,0
2022-07-27,5150.0,2,2,0
2022-07-28,1779.05,2,0,2
2022-07-29,740.0,2,2,0
2022-07-30,20149.559999999998,7,1,6
2022-07-31,3270.6800000000003,2,2,0
2022-08-01,1673.75,4,4,0
2022-08-02,13180.0,5,4,1
2022-08-03,3788.75,4,4,0
2022-08-04,18464.75,8,5,3
2022-08-05,1710.0,3,3,0
2022-08-06,371.0,2,1,1
2022-08-07,16049.560000000001,7,1,6
2022-08-08,1929.0,3,2,1
2022-08-09,0.0,0,0,0
2022-08-10,1323.0,1,0,1
2022-08-11,2229.7799999999997,6,3,3
2022-08-12,418.0,1,1,0
