Date,Withdrawls,Deposits,UPI
04/06/2022,7, ,yes
04/06/2022,7, ,yes
04/19/2022,,"1,20,000",no
04/19/2022,3574,,yes
04/19/2022,1414,,yes
04/19/2022,98.46,,no
04/19/2022,5000,,yes
04/21/2022,"1,453.04",,yes
04/22/2022,149,,yes
04/22/2022,987,,yes
04/24/2022,"2,320.00",,yes
04/26/2022,810,,no
04/28/2022,"10,000.00",,no
04/28/2022,"5,000.00",,no
04/28/2022,568,,yes
04/29/2022,149,,yes
04/30/2022,"3,094.45",,yes
04/30/2022,389,,yes
05/02/2022,"1,490.00",,yes
05/02/2022,"2,187.00",,no
05/03/2022,"15,000.00",,yes
05/03/2022,"5,000.00",,yes
05/03/2022,347,,yes
05/03/2022,355,,yes
05/05/2022,554,,yes
06/05/2022,650,,yes
06/05/2022,550,,yes
06/05/2022,350,,yes
07/05/2022,20,,yes
07/05/2022,179,,yes
07/05/2022,"2,000.00",,yes
05/13/2022,150,,yes
05/15/2022,500,,yes
05/15/2022,0,150,no
05/15/2022,0,500,no
05/16/2022,472,,yes
05/16/2022,60,,yes
05/17/2022,"3,323.00",,yes
05/17/2022,100,,yes
05/17/2022,0,1,no
05/18/2022,50,,yes
05/19/2022,149,,yes
05/19/2022,0,,no
05/20/2022,60,,yes
05/21/2022,"1,462.00",,no
05/22/2022,60,,yes
05/23/2022,60,,yes
05/23/2022,110,,yes
05/29/2022,776,,yes
05/31/2022,0,233,no
06/01/2022,0,2000,no
06/01/2022,150,,yes
06/01/2022,"1,567.00",,yes
06/01/2022,669,,yes
06/02/2022,0,11162.13,no
06/02/2022,"10,000.00",,yes
06/02/2022,90,,yes
03/06/2022,320,,yes
06/04/2022,0,,no
06/04/2022,40,,yes
06/04/2022,150,,yes
06/06/2022,,16000,no
06/06/2022,55,,yes
06/06/2022,"15,000.00",,yes
06/06/2022,40,,yes
06/06/2022,105,,yes
06/06/2022,100,,yes
06/07/2022,85,,yes
06/08/2022,100,,yes
06/08/2022,65,,yes
06/09/2022,150,,yes
06/09/2022,"10,000.00",,yes
06/10/2022,150,,yes
06/10/2022,85,,yes
06/10/2022,"1,993.00",,yes
06/11/2022,"10,000.00",,no
06/13/2022,,140,no
06/15/2022,200,,yes
06/16/2022,230,,yes
06/18/2022,100,,yes
06/18/2022,780,,yes
06/18/2022,756,,no
06/19/2022,17.7,,no
06/20/2022,40,,yes
06/21/2022,"2,866.00",,yes
06/21/2022,150,,yes
06/22/2022,15,,yes
06/22/2022,"5,000.00",,no
06/23/2022,"2,758.00",,no
06/25/2022,"3,700.00",,no
06/26/2022,"3,245.00",,yes
06/27/2022,100,,yes
06/27/2022,"5,100.00",,no
06/27/2022,25,,yes
06/27/2022,200,,yes
06/27/2022,55,,yes
06/28/2022,86,,yes
06/28/2022,,150000,no
06/28/2022,"1,000.00",,yes
06/29/2022,149,,yes
06/29/2022,55,,yes
06/30/2022,625,,yes
06/30/2022,"10,000.00",,no
06/30/2022,"10,000.00",,no
06/30/2022,100,,yes
06/30/2022,"1,382.05",,yes
06/30/2022,100,,yes
07/01/2022,677.25,0,yes
07/03/2022,"1,000.00",0,yes
07/03/2022,0,"1,000.00",no
07/04/2022,"1,696.00",0,yes
07/05/2022,80,0,yes
07/05/2022,739.08,0,yes
07/06/2022,"1,410.00",0,yes
07/06/2022,800,0,yes
07/07/2022,0,"13,000.00",no
07/07/2022,"12,000.00",0,yes
07/08/2022,"10,000.00",0,no
07/08/2022,"10,000.00",,no
07/09/2022,"1,125.76",,no
07/10/2022,"10,000.00",,no
07/10/2022,21,,no
07/10/2022,"10,000.00",,no
07/10/2022,3.78,,no
07/10/2022,"10,000.00",,no
07/10/2022,21,,no
07/10/2022,3.78,,no
07/10/2022,"5,000.00",,yes
07/11/2022,130,,yes
07/11/2022,160.2,,yes
07/13/2022,"1,509.20",,no
07/13/2022,60,,yes
07/13/2022,120,,yes
07/14/2022,96,,yes
07/14/2022,20,,yes
07/14/2022,15,,yes
07/15/2022,972,,yes
07/15/2022,239,,yes
07/18/2022,16,,yes
07/18/2022,55,,yes
07/19/2022,150,,yes
07/19/2022,"1,400.00",,yes
07/19/2022,100,,yes
07/19/2022,674,,no
07/19/2022,"5,000.00",,no
07/19/2022,21,,no
07/19/2022,3.78,,no
07/20/2022,658,,no
07/20/2022,"1,477.00",,yes
07/21/2022,55,,yes
07/21/2022,150,,yes
07/21/2022,2,,no
07/21/2022,759,,no
07/21/2022,"1,250.00",,yes
07/22/2022,30,,yes
07/22/2022,137.98,,yes
07/22/2022,22.5,,yes
07/22/2022,20,,yes
07/22/2022,200,,yes
07/22/2022,750,,yes
07/22/2022,200,,no
07/23/2022,282,,yes
07/23/2022,,2,no
07/23/2022,200,,yes
07/23/2022,148,,yes
07/23/2022,,148,no
07/23/2022,148,,yes
07/23/2022,"5,000.00",,no
07/23/2022,21,,no
07/23/2022,3.78,,no
07/24/2022,"1,499.00",,yes
07/24/2022,859,,no
07/24/2022,899,,yes
07/24/2022,"10,000.00",,no
07/24/2022,21,,no
07/24/2022,3.78,,no
07/24/2022,"10,000.00",,no
07/24/2022,21,,no
07/24/2022,3.78,,no
07/25/2022,245,,yes
07/25/2022,321,,yes
07/25/2022,520,,yes
07/26/2022,350,,yes
07/26/2022,"3,084.00",,yes
07/26/2022,10,,yes
07/27/2022,"5,000.00",,yes
07/27/2022,,3000,no
07/27/2022,,130000,no
07/27/2022,150,,yes
07/28/2022,"1,481.00",,no
07/28/2022,298.05,,no
07/29/2022,620,,yes
07/29/2022,120,,yes
07/30/2022,"10,000.00",,no
07/30/2022,21,,no
07/30/2022,3.78,,no
07/30/2022,"10,000.00",,no
07/30/2022,21,,no
07/30/2022,3.78,,no
07/30/2022,100,,yes
07/31/2022,"1,386.63",,yes
07/31/2022,,1386.63,no
07/31/2022,"1,884.05",,yes
08/01/2022,100,,yes
08/01/2022,3.75,,yes
08/01/2022,100,,yes
08/01/2022,,20000,no
08/01/2022,"1,470.00",,yes
08/02/2022,200,,yes
08/02/2022,,56000,no
08/02/2022,,3.75,no
08/02/2022,"2,000.00",,yes
08/02/2022,426,,yes
08/02/2022,"10,000.00",,yes
08/02/2022,554,,no
08/03/2022,138.75,,yes
08/03/2022,"1,000.00",,yes
08/03/2022,"1,650.00",,yes
08/03/2022,"1,000.00",,yes
08/04/2022,"1,000.00",,no
08/04/2022,"3,000.00",,yes
08/04/2022,"6,627.75",,no
08/04/2022,"4,832.00",,no
08/04/2022,"2,000.00",,yes
08/04/2022,500,,yes
08/04/2022,500,,yes
08/04/2022,5,,yes
08/05/2022,210,,yes
08/05/2022,"1,000.00",,yes
08/05/2022,500,,yes
08/06/2022,171,,no
08/06/2022,200,,yes
08/07/2022,"10,000.00",,no
08/07/2022,21,,no
08/07/2022,3.78,,no
08/07/2022,"5,000.00",,no
08/07/2022,21,,no
08/07/2022,3.78,,no
08/07/2022,"1,000.00",,yes
08/08/2022,149,,yes
08/08/2022,"1,300.00",,yes
08/08/2022,,150,no
08/08/2022,480,,no
08/09/2022,,10,no
08/10/2022,"1,323.00",,no
08/11/2022,500,,no
08/11/2022,21,,no
08/11/2022,3.78,,no
08/11/2022,20,,yes
08/11/2022,565,,yes
08/11/2022,,280,no
08/11/2022,"1,120.00",,yes
08/12/2022,418,,yes
08/13/2022,287,,yes
08/13/2022,"2,159.00",,yes
08/14/2022,75,,yes
08/14/2022,14.45,,yes
08/14/2022,45,,yes
08/15/2022,149,,yes
08/15/2022,50,,yes
08/15/2022,94,,yes
08/16/2022,30,,yes
08/16/2022,"8,000.00",,no
08/16/2022,21,,no
08/16/2022,3.78,,no
08/16/2022,2,,yes
08/16/2022,428.82,,no
08/16/2022,942,,no
08/16/2022,500,,yes
08/17/2022,436,,no
08/17/2022,50,,yes
08/17/2022,30,,yes
08/17/2022,45,,yes
08/19/2022,100,,yes
08/19/2022,400,,yes
08/22/2022,"1,994.00",,no
08/22/2022,619,,no
08/23/2022,"10,000.00",,no
08/23/2022,21,,no
08/23/2022,3.78,,no
08/23/2022,"10,000.00",,no
08/23/2022,21,,no
08/23/2022,3.78,,no
08/23/2022,149,,yes
08/24/2022,280,,yes
08/25/2022,100,,yes
08/25/2022,19,,yes
08/27/2022,200,,yes
08/27/2022,10,,yes
08/28/2022,149,,yes
08/29/2022,100,,yes
08/30/2022,15,,yes
08/31/2022,,567,no
09/01/2022,10000,,no
09/01/2022,10000,,no
09/02/2022,17.7,,no
09/03/2022,1009,,no
09/06/2022,,1500,no
09/09/2022,149,,yes
09/09/2022,149,,yes
09/09/2022,149,,yes
09/09/2022,500,,no
10/09/2022,700,,no
10/09/2022,21,,no
10/09/2022,3.78,,no
10/09/2022,70,,yes
10/09/2022,,70,no
11/09/2022,3000,,no
12/09/2022,6000,,no
12/09/2022,21,,no
12/09/2022,3.78,,no
